2113-132485-0048,2113-132485-0014,7131-92815-0028
1052-139308-0008,1052-139307-0027,5513-39476-0009
398-123602-0043,398-130093-0068,666-11243-0074
273-129288-0010,273-123248-0017,2526-156076-0028
1160-139717-0005,1160-139727-0002,7883-260944-0019
6848-252322-0013,6848-252322-0028,1800-142858-0002
1446-122614-0064,1446-122614-0102,1509-143477-0047
927-132466-0039,927-132462-0077,7125-87278-0080
7720-105167-0005,7720-105168-0049,5299-34547-0021
6937-112761-0027,6937-112761-0016,6167-73972-0016
7702-96101-0015,7702-96101-0032,4267-72637-0025
4280-185518-0096,4280-185518-0130,8666-293945-0053
4586-96498-0001,4586-61758-0024,8088-284756-0090
31-121970-0008,31-121972-0023,5321-8590-0038
1065-134611-0006,1065-134593-0010,7558-89894-0025
3738-176680-0029,3738-164927-0033,5022-29411-0046
1018-135221-0003,1018-135221-0038,1463-134463-0048
6077-56146-0005,6077-58755-0031,583-139009-0066
294-130872-0072,294-129973-0005,6733-59185-0010
125-121342-0023,125-121124-0055,2285-163381-0019
264-121332-0078,264-121332-0104,4599-21274-0013
3319-173247-0021,3319-171003-0010,5045-1196-0007
4192-5332-0018,4192-5332-0027,8422-258258-0036
6950-86823-0005,6950-86713-0029,6097-293616-0025
7823-103122-0070,7823-103122-0092,5703-47198-0035
4039-184266-0010,4039-184266-0000,3479-153281-0011
6009-57646-0054,6009-57639-0019,7898-273041-0013
3549-171171-0021,3549-171171-0024,46-128001-0057
5340-8682-0056,5340-8685-0043,6924-291608-0036
3006-5698-0011,3006-5697-0012,753-166209-0020
8075-279239-0000,8075-279229-0023,5271-34505-0000
1081-125237-0110,1081-125237-0088,4599-21274-0127
984-137154-0022,984-137141-0011,5636-41792-0014
4423-16012-0036,4423-16012-0058,7126-59167-0047
2356-154907-0036,2356-154885-0033,3607-29116-0023
807-124223-0041,807-124223-0100,448-122800-0066
4193-48170-0035,4193-48169-0033,6294-85684-0035
3867-173237-0053,3867-173237-0069,3549-9203-0003
2407-7666-0038,2407-7667-0016,5837-39905-0104
6918-47541-0071,6918-61317-0028,667-158816-0015
1926-147987-0013,1926-147979-0011,6821-276753-0015
1607-149245-0011,1607-149245-0018,2093-143271-0007
846-130984-0001,846-130984-0028,5628-47241-0022
7402-90848-0003,7402-59171-0016,36-16602-0044
322-124147-0073,322-124147-0024,7062-96512-0029
7337-92819-0025,7337-92819-0023,7515-220980-0016
103-1240-0038,103-1240-0034,1094-129661-0000
7982-245691-0061,7982-245691-0046,1482-140072-0000
5933-104482-0028,5933-73033-0015,6754-107485-0005
1092-134562-0025,1092-134579-0000,6643-67857-0003
6981-70843-0024,6981-70843-0044,3368-170952-0022
3681-116302-0021,3681-26514-0031,3245-62827-0008
8545-287671-0060,8545-273050-0017,5636-41792-0042
6426-64291-0013,6426-64290-0024,8396-240992-0002
5379-15784-0012,5379-44344-0032,6276-62021-0088
3686-171133-0006,3686-171134-0032,6272-70191-0012
7708-290368-0005,7708-293973-0056,5445-21282-0074
614-12876-0013,614-161065-0043,1968-145732-0085
4104-185522-0044,4104-181012-0025,625-132112-0030
6075-57156-0012,6075-57154-0017,3665-8587-0049
8300-275128-0047,8300-275128-0008,4511-76322-0012
8421-283462-0067,8421-283462-0018,1784-142294-0092
1752-16632-0096,1752-16632-0013,7962-110061-0042
3869-700-0060,3869-700-0030,7749-8591-0065
1263-141777-0014,1263-138246-0023,8445-281202-0056
3798-16980-0021,3798-16981-0003,4071-39913-0032
7331-86027-0001,7331-86025-0034,2674-155968-0047
444-138076-0021,444-138080-0044,4196-23924-0044
5389-41911-0013,5389-4861-0032,335-125941-0028
248-130697-0008,248-130652-0005,7705-101580-0019
525-126965-0022,525-126965-0024,8666-293943-0069
5299-34546-0020,5299-34546-0024,4013-11734-0037
5054-1187-0004,5054-1187-0009,3559-165413-0007
3394-7597-0075,3394-168627-0014,4693-17508-0026
7389-295014-0009,7389-175357-0029,8337-284519-0001
335-125941-0010,335-125943-0010,8356-240982-0049
3851-9210-0096,3851-9210-0080,1708-142415-0009
3650-168637-0029,3650-168637-0002,8468-295198-0021
3857-182317-0018,3857-180923-0007,5333-37092-0012
298-126791-0027,298-126790-0028,5271-10982-0043
2046-178027-0007,2046-141204-0061,3259-158083-0019
589-146346-0058,589-139200-0044,228-133094-0028
3370-163384-0053,3370-163384-0002,1638-84447-0019
4423-16011-0008,4423-16012-0027,8334-119398-0084
1124-132846-0029,1124-134775-0012,1961-149739-0046
2817-142380-0008,2817-142371-0035,6670-296083-0023
101-126859-0007,101-126860-0022,3244-174926-0022
1714-142291-0005,1714-142291-0012,7561-258994-0013
8087-118180-0001,8087-118165-0011,3955-181687-0034
4152-12926-0046,4152-5710-0041,2185-150123-0015
7739-8592-0039,7739-8592-0022,4545-9166-0071
1298-1054-0040,1298-142236-0038,7828-105171-0027
5890-72186-0018,5890-72188-0012,6904-262291-0014
5239-32139-0058,5239-32139-0048,4044-9010-0089
94-3793-0030,94-3792-0018,3063-138652-0022
2488-155508-0025,2488-155526-0032,8414-284675-0016
8824-279153-0070,8824-279153-0097,6418-39653-0039
2162-164461-0009,2162-181961-0033,5261-19373-0010
580-126947-0012,580-126945-0040,8199-118869-0034
4057-12085-0026,4057-11254-0017,2416-152137-0007
5637-41170-0008,5637-41166-0021,8464-282934-0029
8063-274112-0010,8063-274112-0007,2485-151992-0023
317-127219-0049,317-130248-0026,9026-282386-0043
1809-143025-0086,1809-143025-0105,205-159056-0010
3070-166421-0009,3070-166421-0022,4957-36386-0025
6506-10073-0011,6506-73020-0044,8033-283463-0044
6332-64733-0007,6332-64733-0003,474-141422-0027
6119-48032-0002,6119-48032-0030,2785-154282-0017
3347-134420-0033,3347-134420-0034,6937-112761-0042
1743-142912-0034,1743-142913-0014,7783-107486-0008
4799-25949-0017,4799-25950-0065,3118-5911-0044
3271-169289-0040,3271-169289-0022,964-140397-0037
441-128988-0014,441-128982-0004,2361-137615-0016
1989-26962-0006,1989-26962-0044,8476-269293-0038
8824-279153-0094,8824-279153-0051,1379-130530-0039
4344-53906-0021,4344-53906-0001,3109-144137-0069
5637-41170-0026,5637-41170-0014,125-121124-0020
1536-141791-0021,1536-137608-0032,4225-144132-0126
5949-65530-0028,5949-65529-0031,5164-19198-0003
2240-148522-0012,2240-148522-0016,78-369-0003
126-125084-0019,126-122467-0025,1313-136054-0010
3654-171137-0002,3654-171139-0009,5217-24510-0010
318-124224-0038,318-124164-0049,119-129514-0028
1184-135536-0015,1184-135532-0044,5390-24512-0038
3032-19361-0054,3032-19361-0021,377-129290-0030
8799-270794-0024,8799-270794-0057,1343-158781-0011
764-132280-0033,764-132272-0010,2238-121415-0035
377-129290-0042,377-129290-0040,5076-287393-0027
5133-80690-0055,5133-30591-0025,5076-287393-0035
78-368-0019,78-369-0021,2606-132102-0045
3867-173236-0033,3867-173237-0047,3843-176663-0045
922-132291-0019,922-132291-0014,7932-278228-0006
3112-9555-0091,3112-9555-0008,2090-151646-0046
19-227-0034,19-198-0016,836-130900-0041
6147-34606-0015,6147-34605-0038,5993-19639-0024
110-1-0037,110-2-0009,475-124994-0022
1258-135062-0002,1258-135063-0005,224-133227-0008
2148-6984-0023,2148-6981-0014,7826-284518-0064
5375-40162-0026,5375-40169-0041,2911-7601-0043
492-131887-0005,492-131882-0002,2270-156683-0041
7756-287863-0017,7756-84187-0034,4005-7262-0002
7556-103535-0031,7556-103536-0031,6153-62534-0012
7988-113323-0022,7988-114070-0013,6784-76152-0028
7871-107225-0053,7871-107222-0010,7178-34644-0071
6853-12339-0016,6853-12339-0034,2785-163322-0017
5319-84357-0005,5319-42637-0006,5867-48852-0070
1708-142415-0000,1708-142415-0002,5456-24741-0014
6694-70837-0045,6694-70837-0068,8014-112586-0006
9023-296468-0049,9023-296468-0022,2133-2148-0018
3289-171108-0026,3289-171108-0035,4910-14124-0027
8713-296159-0039,8713-296159-0037,3356-132542-0056
7780-274562-0044,7780-274562-0001,30-4445-0000
403-126855-0001,403-126855-0004,5984-56837-0033
6849-69603-0087,6849-69603-0067,3990-13164-0027
6836-61803-0013,6836-61804-0001,4680-16042-0035
2517-135229-0053,2517-135229-0056,3285-121401-0045
5854-287849-0015,5854-50960-0012,6583-48224-0015
1079-128632-0023,1079-128632-0005,1098-133695-0051
6188-78885-0020,6188-73024-0040,252-132011-0003
3866-9920-0000,3866-9920-0020,3928-10094-0046
2289-152258-0012,2289-152254-0000,622-128666-0020
2518-154826-0023,2518-154826-0008,2975-151995-0099
4860-13185-0003,4860-13185-0090,4443-3992-0050
7732-107517-0004,7732-107517-0038,2544-27475-0014
542-125351-0005,542-125351-0012,1444-133287-0031
6726-56640-0000,6726-93466-0086,3675-10687-0015
7391-60445-0062,7391-60445-0127,8156-104526-0012
3783-176659-0014,3783-176659-0004,7299-88365-0048
2204-131732-0094,2204-131732-0097,2895-8663-0051
7150-111618-0027,7150-2338-0022,7746-104993-0025
6333-39671-0028,6333-39678-0000,14-208-0039
6918-47541-0084,6918-47541-0085,7867-110742-0053
112-121671-0010,112-123216-0011,7939-120325-0042
2606-132102-0036,2606-132102-0104,2989-138028-0024
2292-150689-0042,2292-150679-0025,8176-115046-0027
3977-87547-0022,3977-185466-0032,4931-28257-0014
6189-21305-0023,6189-64708-0049,4396-14564-0086
3564-132498-0016,3564-132498-0087,4841-26659-0020
1569-141082-0031,1569-141082-0017,8143-278223-0053
2341-163408-0001,2341-163407-0000,6746-72302-0020
5756-305216-0008,5756-50266-0003,339-132717-0003
2319-138656-0021,2319-138656-0014,7739-107483-0036
8591-284444-0045,8591-284444-0053,1154-129976-0020
2999-156968-0040,2999-156968-0041,4667-102196-0043
1746-143015-0013,1746-143015-0047,8415-283469-0021
5727-47030-0071,5727-47030-0051,7398-98880-0014
1868-145459-0037,1868-2318-0032,2448-163517-0004
365-126328-0007,365-126328-0006,2724-89874-0057
6685-70976-0006,6685-70976-0047,5389-4861-0071
3025-12971-0085,3025-12971-0066,4277-185519-0042
4005-7258-0042,4005-14905-0013,1780-143478-0013
1260-139267-0027,1260-139271-0021,373-130975-0016
1809-143025-0073,1809-143025-0059,4267-78186-0028
5245-3984-0014,5245-3984-0089,8063-274112-0016
5164-19198-0021,5164-19197-0036,4839-15307-0001
8772-270777-0001,8772-295710-0007,2526-156061-0009
460-172359-0035,460-172359-0043,7012-82949-0057
3274-163518-0007,3274-167022-0022,6330-66016-0017
1553-140047-0000,1553-140048-0040,8033-284028-0001
8238-274553-0059,8238-274553-0037,2792-152929-0019
104-132092-0047,104-132092-0049,7135-80033-0001
114-129317-0019,114-129324-0033,249-121331-0104
1985-144468-0040,1985-144468-0045,365-84333-0012
6076-51654-0006,6076-51655-0027,6981-70843-0099
6981-70843-0010,6981-70843-0062,5914-52087-0005
5287-39165-0022,5287-39165-0021,1943-138033-0061
1708-142415-0065,1708-142417-0009,6568-79375-0072
3448-5417-0038,3448-5416-0029,1643-138089-0020
3006-5698-0061,3006-5698-0034,6705-74244-0015
1107-133727-0050,1107-134311-0023,7553-101289-0032
5350-205003-0003,5350-205002-0027,4660-25054-0005
152-183930-0007,152-87733-0017,7338-92139-0028
6798-77736-0002,6798-77740-0015,6534-71091-0066
8058-99402-0023,8058-99403-0024,5190-87791-0060
5389-4861-0051,5389-4861-0084,7687-107687-0070
8163-274549-0003,8163-116797-0018,4712-60531-0014
2992-164100-0011,2992-164100-0043,7117-86710-0013
5186-7793-0081,5186-7793-0012,6359-64713-0013
5045-23290-0036,5045-1197-0021,1674-142298-0021
2053-138901-0065,2053-138901-0036,1639-132848-0059
5092-28465-0079,5092-28465-0030,6773-76039-0027
3962-722-0010,3962-721-0054,1132-145024-0073
1110-134829-0009,1110-136055-0042,1417-1536-0005
8808-283205-0026,8808-283205-0022,359-128761-0001
5337-37090-0006,5337-37090-0092,1422-146111-0022
2292-150689-0067,2292-150679-0012,4455-14896-0004
2909-34664-0013,2909-34661-0037,127-129390-0078
7746-104993-0069,7746-104992-0034,6668-34648-0059
8447-285242-0005,8447-285242-0004,7190-90542-0053
5468-58929-0032,5468-112587-0005,3914-10088-0004
2229-152842-0027,2229-152864-0013,4576-66268-0005
6637-69607-0012,6637-71405-0003,3990-31915-0027
8394-96177-0021,8394-96177-0045,1958-144503-0006
2292-150679-0066,2292-150689-0041,4484-75922-0026
4411-14494-0038,4411-14501-0069,3235-28433-0020
712-123615-0100,712-123615-0003,5220-112590-0032
6065-109178-0025,6065-109178-0002,868-131294-0008
3479-153286-0011,3479-153281-0008,8605-291172-0020
684-139205-0002,684-137978-0019,5038-34576-0018
8424-281344-0000,8424-284526-0014,7491-114606-0012
1740-141148-0011,1740-141148-0057,1367-291931-0035
331-135126-0000,331-884-0030,6232-36628-0053
7238-91112-0044,7238-107675-0001,2319-138656-0055
8575-290351-0014,8575-290350-0019,2817-142371-0055
4706-18009-0013,4706-28494-0047,2162-185436-0005
2769-176256-0031,2769-176263-0003,8058-99402-0030
1731-142320-0025,1731-142320-0022,7205-64110-0003
5979-42001-0010,5979-42000-0011,278-127215-0063
5725-50452-0016,5725-48803-0050,783-126739-0044
6395-86708-0023,6395-87997-0007,4152-12926-0001
1261-131411-0006,1261-136350-0010,8421-283462-0037
398-130093-0040,398-130093-0062,3465-275761-0001
7584-101856-0007,7584-266228-0024,7307-92008-0006
3894-6552-0014,3894-6552-0041,362-123049-0005
1403-135907-0000,1403-135907-0002,8778-246983-0024
5935-55927-0019,5935-43322-0011,3053-148990-0042
6763-74798-0016,6763-74797-0002,3934-102415-0024
8422-258258-0000,8422-258258-0059,65-122444-0005
2229-152864-0026,2229-152842-0011,6189-64708-0037
2724-89874-0080,2724-89874-0092,5720-48807-0020
1482-140071-0031,1482-140072-0006,4195-186237-0029
307-127535-0022,307-127539-0039,1046-133224-0011
8536-244441-0054,8536-244442-0030,915-163370-0032
225-131256-0011,225-131259-0027,1621-141593-0018
3896-134415-0069,3896-134415-0052,1777-142745-0046
6099-230928-0013,6099-67860-0030,8619-291379-0005
466-134196-0032,466-134208-0031,6446-40571-0005
886-123272-0001,886-123274-0025,2587-163454-0027
2758-86040-0026,2758-86588-0007,6221-6879-0018
1421-8539-0038,1421-8522-0034,6807-105654-0089
7540-101262-0017,7540-101262-0026,688-1070-0004
7220-77911-0011,7220-77911-0016,2397-162238-0010
1800-142858-0018,1800-142858-0003,2292-150679-0060
5831-87174-0042,5831-98684-0014,5825-50883-0023
1154-134887-0033,1154-134887-0022,7780-274562-0085
6060-106611-0031,6060-58090-0026,780-126736-0104
727-124443-0117,727-124443-0040,7263-86687-0073
81-121543-0064,81-121543-0042,5933-91994-0032
5725-48803-0060,5725-48803-0036,8075-279233-0011
1241-137614-0035,1241-121106-0008,5984-56840-0034
8266-258262-0006,8266-258263-0010,8445-281202-0050
2149-7239-0013,2149-8912-0025,690-134308-0032
2182-181183-0006,2182-150130-0032,886-123272-0025
1825-135580-0061,1825-135580-0038,2067-143536-0021
3595-418-0030,3595-176633-0034,5893-54390-0041
4965-27767-0000,4965-27768-0037,5789-70653-0021
5909-111961-0021,5909-107621-0033,1629-139710-0047
6281-65531-0011,6281-1315-0036,4260-176854-0030
4680-16026-0032,4680-16026-0022,3368-170951-0008
7061-85635-0009,7061-88086-0055,2010-147045-0033
2297-174934-0004,2297-8377-0038,5044-30602-0021
58-121081-0005,58-121075-0003,3911-8888-0050
5561-41615-0023,5561-41615-0047,2256-137597-0008
810-130095-0024,810-130095-0053,6188-78885-0015
3245-169642-0040,3245-62827-0020,8388-278289-0044
3436-172171-0024,3436-172162-0001,114-129324-0048
2405-182390-0026,2405-7360-0041,948-132705-0007
6660-103647-0033,6660-103647-0015,2992-164101-0024
3192-4910-0037,3192-4911-0011,1430-1061-0035
3681-111567-0024,3681-96617-0017,2787-157400-0045
8050-110238-0028,8050-110238-0084,2270-156683-0000
4599-21274-0106,4599-21274-0010,8605-276939-0014
7121-88076-0070,7121-86787-0030,8425-246962-0016
4773-25911-0049,4773-25911-0019,6512-67886-0017
779-123710-0000,779-126735-0039,128-134883-0019
7881-105574-0032,7881-110131-0003,1187-136238-0041
7220-77905-0030,7220-77905-0024,7994-258960-0031
1566-153036-0037,1566-133291-0019,5304-55856-0019
2397-162253-0042,2397-162239-0007,4313-9936-0023
2407-7664-0005,2407-7666-0014,6206-14960-0014
4733-6398-0043,4733-6398-0011,453-3040-0001
5185-24767-0015,5185-24767-0005,6221-6879-0100
8063-274117-0005,8063-274112-0037,448-122800-0038
2544-3070-0024,2544-13195-0015,816-53638-0045
6950-86822-0036,6950-86823-0008,920-668-0014
1421-8539-0033,1421-8534-0031,3879-174923-0040
6798-77739-0010,6798-77737-0025,2673-162129-0042
1069-133699-0016,1069-133709-0009,1621-141599-0020
5012-80192-0041,5012-80192-0029,6127-2344-0012
3142-160977-0027,3142-160977-0059,886-123272-0013
5340-8682-0040,5340-8685-0031,2182-181183-0002
4750-26487-0020,4750-26486-0005,5784-36627-0063
3723-171631-0012,3723-171631-0009,2246-131710-0162
8097-108005-0010,8097-108005-0019,3926-891-0024
7333-94829-0045,7333-94829-0024,525-126965-0025
2067-143535-0029,2067-143536-0014,8240-283234-0031
7383-95441-0053,7383-95441-0049,1182-133396-0016
8419-286676-0015,8419-293469-0015,6583-66463-0051
5224-35453-0004,5224-35439-0000,8422-283572-0023
4152-5710-0012,4152-12926-0024,6221-6879-0078
2050-164335-0012,2050-164335-0043,1161-135206-0003
8531-282933-0028,8531-282933-0062,1634-141571-0020
6726-93466-0055,6726-93466-0079,7618-102367-0016
3967-29012-0045,3967-292604-0013,2998-160955-0048
836-131106-0036,836-130900-0000,7147-80028-0050
4273-188161-0000,4273-188159-0002,6084-2159-0037
1726-142316-0042,1726-142316-0051,5401-39508-0021
1923-161975-0010,1923-161975-0016,2748-160985-0013
8580-287364-0044,8580-287364-0010,1746-143015-0038
4806-26894-0023,4806-26895-0022,5993-19639-0046
317-127219-0039,317-130243-0016,4277-185519-0046
8098-278252-0001,8098-278278-0025,7762-280917-0032
1603-139324-0002,1603-139325-0003,203-132069-0029
5285-41928-0007,5285-48598-0012,1743-142912-0035
1958-144503-0061,1958-144503-0043,4013-11734-0046
3370-724-0025,3370-756-0008,7337-89742-0022
2568-156117-0015,2568-156116-0022,779-123708-0006
4594-901-0030,4594-902-0028,7398-98878-0030
8042-113762-0040,8042-113762-0005,5039-1189-0017
4014-186179-0031,4014-186183-0018,5756-305216-0015
7046-85651-0045,7046-85651-0018,7220-77911-0035
2741-159386-0050,2741-159386-0020,681-161945-0011
712-123615-0008,712-123615-0084,1773-139602-0042
1754-140639-0019,1754-137004-0002,4340-15220-0012
2817-142371-0028,2817-142380-0015,1367-291967-0039
1849-144965-0007,1849-144965-0043,1772-135621-0023
2624-88360-0048,2624-173598-0008,7297-92812-0033
127-129390-0050,127-129385-0055,6224-61958-0033
7297-275885-0040,7297-92812-0035,46-127996-0072
3215-5758-0013,3215-5757-0004,2992-164100-0025
4191-69032-0041,4191-69032-0034,2582-155972-0065
8050-110238-0004,8050-110238-0055,625-132118-0017
335-125943-0026,335-125945-0000,7679-276767-0041
3503-127083-0054,3503-127083-0060,8113-301693-0011
6153-62534-0025,6153-59414-0015,2919-7269-0014
727-124443-0001,727-124443-0109,7107-245689-0141
5198-204975-0006,5198-204975-0039,147-125761-0027
2085-147968-0023,2085-147971-0014,3843-176663-0013
1743-142912-0006,1743-142913-0015,8527-281131-0024
1200-135043-0007,1200-135043-0012,1392-128226-0002
3798-16984-0033,3798-16981-0053,1473-135657-0048
3025-12971-0072,3025-12971-0015,666-11243-0005
210-129396-0107,210-129396-0174,8464-282934-0015
7618-102372-0019,7618-102372-0024,7090-91801-0041
2910-131096-0040,2910-131096-0087,2533-149939-0006
8118-114476-0020,8118-114476-0026,7131-92815-0027
127-129390-0114,127-129385-0014,8575-290350-0022
8044-84200-0047,8044-84206-0001,1066-4479-0007
4438-52195-0006,4438-52195-0026,5389-4861-0004
3867-173237-0072,3867-173236-0033,6689-64286-0020
4246-12544-0031,4246-12544-0023,2481-12731-0014
7737-112594-0010,7737-112595-0012,606-121661-0018
3285-121400-0023,3285-121401-0002,8975-270782-0028
5141-26932-0022,5141-26995-0035,5789-70653-0025
7925-114279-0004,7925-114279-0000,7909-106370-0005
3728-105398-0012,3728-105386-0023,93-126209-0041
7553-101289-0003,7553-101289-0019,5333-5083-0023
4629-19366-0114,4629-19366-0071,6563-63821-0019
6127-14967-0012,6127-53038-0005,6459-70128-0037
1081-128618-0013,1081-125237-0058,737-123448-0017
7835-97730-0072,7835-97730-0012,6747-76101-0002
1665-141758-0001,1665-132826-0001,7148-7763-0035
5660-101883-0013,5660-101883-0029,3790-140725-0068
7314-77782-0001,7314-77782-0022,5720-48807-0062
8394-96177-0042,8394-96177-0032,5115-26947-0006
421-128336-0009,421-124401-0040,7802-104394-0045
118-47824-0080,118-47824-0059,1085-169444-0014
6294-85684-0041,6294-85684-0011,5724-13364-0032
8119-115686-0043,8119-115686-0031,7012-82949-0049
225-131256-0035,225-131259-0023,5840-54193-0024
1291-138096-0016,1291-138109-0004,6563-285357-0044
8291-276745-0031,8291-276745-0020,1800-142858-0026
8677-296078-0020,8677-296078-0039,2688-144987-0058
8705-290361-0010,8705-290361-0025,6104-58845-0068
2380-152158-0017,2380-152158-0003,1110-134828-0014
6741-79958-0016,6741-253244-0032,75-853-0052
5340-8685-0008,5340-8682-0048,3411-187007-0017
1384-130462-0017,1384-130531-0028,6099-67860-0021
5220-69517-0026,5220-112590-0032,5328-204986-0110
7367-86737-0053,7367-86737-0036,2988-173558-0021
6724-74002-0009,6724-73990-0055,5439-31624-0041
6332-64734-0025,6332-64734-0030,7140-72212-0017
4235-7632-0006,4235-7632-0007,3045-155991-0049
2100-138911-0053,2100-138911-0096,3618-175930-0043
8770-295465-0002,8770-295465-0038,8246-107993-0041
8347-258283-0051,8347-258283-0040,5837-39905-0069
2925-162505-0018,2925-162505-0057,7720-105167-0042
1639-133290-0020,1639-133290-0023,2638-10172-0056
6035-58142-0016,6035-58142-0037,5293-82020-0000
6583-48224-0005,6583-48224-0073,2792-152929-0065
2254-152831-0025,2254-152826-0013,7832-114468-0030
8765-295003-0010,8765-295003-0047,1898-145702-0005
4640-19189-0028,4640-19189-0018,1624-168623-0042
7135-80033-0004,7135-80033-0054,1160-139727-0010
5628-22450-0006,5628-22450-0017,1382-130548-0015
112-121671-0001,112-123215-0012,7991-102381-0111
